sequenza,livello,n_eventi,n_chars,frequenza,gamma,gamma_se,gamma_stretto,stimabile,mean_tau,sigma_tau,cv_tau,B_goh,gamma_A1,gamma_A2,tipo,corpus,titolo
h,lettere,2139,60000,0.03565,1.0773661880363206,0.00270486354918291,1.064821317760592,True,28.05285313376988,24.55487706432893,0.8753076539929515,-0.06649167444155121,1.0062083138002815,0.9656789137635569,lettera,wikipedia,American Civil War
d,lettere,2032,60000,0.03386666666666667,1.0818539657232908,0.005322830244436713,1.0573029987550946,True,29.48547513540128,26.84631797704075,0.9104929750583579,-0.046850224580861376,0.9764128704629798,0.9956057701780342,lettera,wikipedia,American Civil War
l,lettere,1912,60000,0.03186666666666667,1.1560950647857078,0.00375738739816573,1.1795368864321416,True,31.355834641548928,32.755991677985335,1.0446537957749367,0.02183929419601939,1.0314108975663858,0.9596848771889168,lettera,wikipedia,American Civil War
c,lettere,1689,60000,0.02815,1.190400212023859,0.007107055868107916,1.145352717791809,True,35.45082938388626,33.577184780478134,0.9471480742208033,-0.027143249390700133,1.0458801692802588,0.922401925092515,lettera,wikipedia,American Civil War
u,lettere,1280,60000,0.021333333333333333,1.0982273676389698,0.004499503393302709,1.0814661746056389,True,46.81313526192338,44.391154528946785,0.9482627959134673,-0.02655555718409904,0.9798336053226331,0.9924417105330715,lettera,wikipedia,American Civil War
f,lettere,1211,60000,0.020183333333333334,0.996675455752057,0.0031307334151014694,1.0045936867759222,True,49.388429752066116,47.11978504068124,0.9540652593578364,-0.02350727050807868,1.0265194879462505,0.9778262945154549,lettera,wikipedia,American Civil War
m,lettere,1141,60000,0.019016666666666668,1.2942578845061352,0.009688330108707148,1.2332643339058855,True,52.603508771929825,52.41660281882686,0.9964468919000571,-0.0017797158113038545,0.9651979483159457,1.0064163027190627,lettera,wikipedia,American Civil War
p,lettere,886,60000,0.014766666666666668,1.1545541259151677,0.008463109220837078,1.1023626416024839,True,67.71751412429379,77.11907830204744,1.1388350458420153,0.06491152560451849,0.9038385227124671,1.0010307320654983,lettera,wikipedia,American Civil War
g,lettere,840,60000,0.014,1.126181751810982,0.0076764842632631065,1.166123391222799,True,70.6233611442193,72.93148272168052,1.0326821258584369,0.0160783259923805,0.9257125866952428,1.0222942860344695,lettera,wikipedia,American Civil War
w,lettere,812,60000,0.013533333333333333,1.2592829901140428,0.010326543418709035,1.196812582930594,True,73.89395807644883,75.21390796325115,1.0178627579461468,0.00885231558776975,0.9782652317918,1.0455558570253247,lettera,wikipedia,American Civil War
y,lettere,703,60000,0.011716666666666667,1.0452348173350485,0.009941642937618183,1.1051256430514889,True,85.16809116809117,77.59866174230775,0.9111236459339674,-0.04650476396706328,0.9649423478528248,1.0210098055633492,lettera,wikipedia,American Civil War
the,parole,881,60000,0.014683333333333333,1.2556116955073287,0.011934030467117286,1.1836038843544967,True,68.14318181818182,58.23642487420096,0.8546185153136251,-0.07838888886633927,1.0343883151642712,0.9871062530121911,funzione,wikipedia,American Civil War
of,parole,337,60000,0.0056166666666666665,1.3602656980021728,0.01952694119113625,1.2377975865931852,True,177.05059523809524,185.77558392246863,1.0492796348560147,0.024047296434230727,0.9552939307477063,0.9598796611914584,funzione,wikipedia,American Civil War
to,parole,266,60000,0.004433333333333333,1.0518108588702728,0.006291797732156392,1.0921221222593458,True,225.04905660377358,236.50945238865694,1.0509239894529343,0.02482977902390119,1.0010741301886796,1.0589768878978172,funzione,wikipedia,American Civil War
and,parole,265,60000,0.004416666666666667,0.978239348214727,0.004241233327613723,1.005606455842275,True,225.78787878787878,212.53727135642688,0.9413139115235656,-0.03023008701893908,1.0128162388864412,0.9538712436747406,funzione,wikipedia,American Civil War
in,parole,266,60000,0.004433333333333333,0.9864240652778434,0.0038299538506839145,0.9680785925824097,True,225.02264150943395,202.02188097953933,0.8977846834629291,-0.05386033380275595,0.9767474581653229,0.9558225827039154,funzione,wikipedia,American Civil War
was,parole,115,60000,0.0019166666666666666,0.9565583250047552,0.005991274640626383,0.969789031768169,True,525.1315789473684,507.38314428067054,0.9662019284723368,-0.01718952211277865,1.023958191906256,1.0404051318106575,funzione,wikipedia,American Civil War
union,parole,123,60000,0.00205,1.2404920541530315,0.012445539983481404,1.158842622957316,True,487.28688524590166,575.2302805784396,1.1804756048136997,0.08276891721020635,0.9975877840500544,1.1227693457181207,keyword,wikipedia,American Civil War
confederate,parole,78,60000,0.0013,1.1797886708641703,0.006470898456801791,1.1418442946314697,True,762.6493506493506,940.7481032924046,1.2335263938681826,0.10455501869568005,0.9523634157834956,1.1447549325491286,keyword,wikipedia,American Civil War
army,parole,54,60000,0.0009,1.4638372930858201,0.01837207030345834,1.3460459749855365,True,950.5094339622641,1855.7197921627805,1.9523423186102264,0.32257178058489105,1.0529642484000872,1.3558561381785517,keyword,wikipedia,American Civil War
confederacy,parole,58,60000,0.0009666666666666667,1.084893965122144,0.008418816943218783,1.0433739441017797,True,1032.017543859649,1135.1951451375485,1.099976596223379,0.047608433543106114,0.9667295138294575,1.084244830398223,keyword,wikipedia,American Civil War
states,parole,51,60000,0.00085,1.4013047056916963,0.011516213318919952,1.3224175757104628,True,1158.8,3035.3079257435534,2.619354440579525,0.44741526898377953,1.0060070958108727,1.342563453169957,keyword,wikipedia,American Civil War
south,parole,45,60000,0.00075,1.1574713336539186,0.013498004700849277,1.2034599817237803,True,1357.7045454545455,1732.0685117168962,1.275733013869389,0.12116228581689596,1.0394074279837309,1.1728078441061605,keyword,wikipedia,American Civil War
lincoln,parole,52,60000,0.0008666666666666666,1.3950756813080887,0.00611849800837986,1.380088246387309,True,1137.7843137254902,2189.0725096599745,1.9239784581773778,0.3160004327642438,0.9767224173065913,1.3383747005019488,keyword,wikipedia,American Civil War
on,parole,80,60000,0.0013333333333333333,1.1149222033464996,0.009644748542122494,1.0546558642166803,True,744.2405063291139,877.832517394185,1.1795011289079107,0.08235881437595487,0.9416175018868964,1.039089845283461,appaiata,wikipedia,American Civil War
by,parole,73,60000,0.0012166666666666667,1.0571053868765323,0.004540400744819246,1.0276861583619357,True,798.5277777777778,898.7860509680323,1.1255538955316784,0.059068789455594066,1.0414428010058467,1.0600924918956018,appaiata,wikipedia,American Civil War
