sequenza,livello,n_eventi,frequenza,n_chars,gamma,gamma_se,gamma_stretto,stimabile,mean_tau,sigma_tau,cv_tau,B_goh,gamma_A1,gamma_A2,tipo,label,gruppo,fonte
d,lettere,1614,0.03228,50000,1.0611916306632396,0.005026087130264549,1.0573425917623276,True,30.965282083075014,28.073901674132177,0.9066250906035438,-0.04897392248567245,1.0171809776263416,0.9422805708415215,lettera,Joseph Stalin,wikipedia,Joseph Stalin
c,lettere,1225,0.0245,50000,1.117032724771721,0.004576332652311484,1.1013416901391815,True,40.783496732026144,40.34264148138814,0.9891903518343533,-0.005434194950562876,0.9781103159548766,0.9302069500889281,lettera,Joseph Stalin,wikipedia,Joseph Stalin
m,lettere,1024,0.02048,50000,0.9798872787543779,0.009717803645510819,0.9398716576288092,True,48.779081133919846,47.37034082791575,0.9711199909211801,-0.014651573324728535,0.9223184154890602,1.029153249215032,lettera,Joseph Stalin,wikipedia,Joseph Stalin
u,lettere,994,0.01988,50000,1.0818910444973526,0.008813442684891098,1.008702680754099,True,50.21651560926485,47.68865812807548,0.9496608346772075,-0.025819447376408313,0.9711253153607361,0.9082653973306165,lettera,Joseph Stalin,wikipedia,Joseph Stalin
p,lettere,834,0.01668,50000,0.9575098816334131,0.012557046696939097,1.0147244988845503,True,60.00360144057623,60.229638567851595,1.0037670593405834,0.0018799886558785025,0.9961101653409642,1.0121014696643904,lettera,Joseph Stalin,wikipedia,Joseph Stalin
g,lettere,785,0.0157,50000,1.1569417162587032,0.009393746238572106,1.1201637555421349,True,63.58673469387755,65.149362745985,1.0245747491144235,0.012138227608129966,0.9839858513977866,0.9963637193025298,lettera,Joseph Stalin,wikipedia,Joseph Stalin
f,lettere,760,0.0152,50000,0.9932417447776948,0.008613372069275411,1.0362594452183804,True,65.53491436100131,66.20752558649849,1.010263402829705,0.005105501505552941,0.9793845326072451,1.0522930739490894,lettera,Joseph Stalin,wikipedia,Joseph Stalin
w,lettere,663,0.01326,50000,1.0844884433216586,0.0035116525168185663,1.086368984623286,True,75.39577039274924,71.01021967485352,0.9418329344597097,-0.029954721906328443,0.9266783432505669,1.029574016118839,lettera,Joseph Stalin,wikipedia,Joseph Stalin
v,lettere,613,0.01226,50000,1.0157127164012707,0.016417505677232425,0.9299586938068413,True,81.58169934640523,83.67250588241446,1.0256283768634362,0.012652062518555485,1.029918464695512,1.0023664125515863,lettera,Joseph Stalin,wikipedia,Joseph Stalin
the,parole,531,0.01062,50000,0.980896749263532,0.011095768150908973,0.9663616958460332,True,93.59622641509434,84.15564831093008,0.8991350563398166,-0.05311099035504055,1.0538433437057533,0.9784011982118889,funzione,Joseph Stalin,wikipedia,Joseph Stalin
