corpus,titolo,sequenza,tipo,n_eventi,mean_tau,cv_tau,J
letterario,wrnpc_3,prince,keyword,94,605.9784946236559,1.6720731104647337,-0.08856192113195846
letterario,wrnpc_3,pierre,keyword,93,399.64130434782606,0.9950869921703133,-0.26728825699742287
letterario,wrnpc_3,princess,keyword,65,847.96875,1.9093265413249885,0.2225414679900209
letterario,wrnpc_3,vasíli,keyword,60,955.1864406779661,1.548294013242581,0.01566856161172828
letterario,wrnpc_3,thought,keyword,34,1695.6969696969697,1.1055110777799035,0.27865154092611183
letterario,wrnpc_3,little,keyword,33,1834.0,1.7522397767277273,0.38929430989760067
letterario,wrnpc_3,hélène,keyword,37,771.8055555555555,1.0540385384876492,0.10321997112722343
letterario,wrnpc_3,but,appaiata,88,683.9425287356322,0.9079352536129918,-0.3476173591803972
letterario,wrnpc_3,for,appaiata,81,743.075,1.3047188612817031,0.25687815775595363
letterario,wrnpc_3,you,appaiata,68,803.3432835820895,1.5276650179467983,0.453777081213647
letterario,wrnpc_3,all,appaiata,48,1248.8936170212767,1.3832647812138805,0.3463107116095583
letterario,wrnpc_3,have,appaiata,34,1528.2121212121212,1.0986885507286845,0.37113592010906593
letterario,wrnpc_3,himself,appaiata,33,1503.75,1.384514058854175,0.1962481231187078
letterario,wrnpc_3,who,appaiata,32,1741.5483870967741,1.0340708114601602,-0.0344154577988545
letterario,wrnpc_4,vocali,vocali,17410,3.446263426963065,0.46496582724906244,-0.6799655503921394
letterario,wrnpc_4,spazio,spazio,9548,6.283544568974547,0.535485975481291,-0.9716431560348503
letterario,wrnpc_4,e,lettera,5683,10.555438225976769,0.8588921595178265,-0.2890206856526036
letterario,wrnpc_4,t,lettera,4298,13.959041191528973,0.8658422853174538,-0.296051871047017
letterario,wrnpc_4,o,lettera,3684,16.28265001357589,0.8501314292276989,-0.2734763739580311
letterario,wrnpc_4,a,lettera,3682,16.292311871773975,0.905720204806722,-0.3850482839666015
letterario,wrnpc_4,n,lettera,3454,17.367796119316537,0.8801152640934689,-0.3194800575542385
letterario,wrnpc_4,i,lettera,3145,19.073155216284988,0.8861020496569735,-0.3136403637697773
letterario,wrnpc_4,h,lettera,3114,19.265338901381305,0.8492471341977658,-0.38691931167269084
letterario,wrnpc_4,s,lettera,2994,20.04209822920147,0.9685286492420154,-0.08146264664997897
letterario,wrnpc_4,r,lettera,2816,21.287388987566608,0.9004951794170526,-0.25070212674669745
letterario,wrnpc_4,d,lettera,2150,27.910190786412286,0.9602078526528164,-0.18457997848288435
letterario,wrnpc_4,l,lettera,1891,31.728571428571428,1.1033099466575709,0.11446688788836794
letterario,wrnpc_4,u,lettera,1216,49.32674897119342,0.9327270122021684,-0.2494200070693556
letterario,wrnpc_4,m,lettera,1169,51.34845890410959,0.9837780116911687,-0.022109605561405513
letterario,wrnpc_4,g,lettera,1137,52.703345070422536,0.9868116788098531,-0.14704079211242158
letterario,wrnpc_4,w,lettera,1103,54.349364791288565,0.9925857817040654,-0.15252410699770227
letterario,wrnpc_4,f,lettera,1083,55.27818853974122,1.0628438008769023,0.08770911601111676
letterario,wrnpc_4,c,lettera,1036,57.9487922705314,0.9852124647668994,-0.08928993314475428
letterario,wrnpc_4,y,lettera,838,71.61768219832736,1.046341783567121,-0.17842869438787476
letterario,wrnpc_4,p,lettera,740,80.83085250338296,1.0398276033500504,0.08850568921958361
letterario,wrnpc_4,the,funzione,746,80.43489932885906,0.9516831631863327,-0.43134349013672885
letterario,wrnpc_4,and,funzione,394,152.55979643765903,0.9170738289542156,-0.39002542874134644
letterario,wrnpc_4,to,funzione,292,204.94501718213058,1.0333520835858958,-0.040851235771494084
letterario,wrnpc_4,of,funzione,289,205.25694444444446,1.0952256473177688,-0.08520770926787431
letterario,wrnpc_4,he,funzione,206,288.0292682926829,1.5791007517402575,0.0010336122913361147
letterario,wrnpc_4,in,funzione,168,353.7065868263473,1.103019729733782,-0.06661726990644504
letterario,wrnpc_4,rostóv,keyword,50,1026.7142857142858,4.759831279117724,0.11978423610648435
letterario,wrnpc_4,kutúzov,keyword,49,1079.2291666666667,2.749036494955346,0.30797774002495193
letterario,wrnpc_4,horse,keyword,43,1177.6904761904761,1.8095158870860881,0.4271920238673217
letterario,wrnpc_4,prince,keyword,37,1349.4444444444443,1.902066961102278,0.1472058383385539
letterario,wrnpc_4,front,keyword,31,1633.5,1.344719860516115,0.12062405713639324
letterario,wrnpc_4,andrew,keyword,31,1595.9666666666667,2.7141437945836513,0.07399002707266658
letterario,wrnpc_4,thought,keyword,26,2284.72,1.3505544949832111,0.4644434271971642
letterario,wrnpc_4,by,appaiata,47,1243.4565217391305,1.092609789196347,0.2123077037995732
letterario,wrnpc_4,from,appaiata,40,1503.179487179487,1.0327869793651363,0.03364870467117699
letterario,wrnpc_4,said,appaiata,40,1310.6666666666667,1.4743803469349843,0.09455705022543501
letterario,wrnpc_4,one,appaiata,38,1528.972972972973,1.0991985604654297,0.09445573868341743
letterario,wrnpc_4,out,appaiata,31,1837.3333333333333,1.1835699488331572,-0.022624291074400765
letterario,wrnpc_4,you,appaiata,31,1760.5333333333333,1.3582812555791588,0.5604145089016144
letterario,wrnpc_4,our,appaiata,26,2160.96,0.9842906499377079,0.19509646698456914
letterario,wrnpc_5,vocali,vocali,17083,3.512235101276197,0.45932986919822477,-0.6968559355804536
letterario,wrnpc_5,spazio,spazio,9786,6.130403679100664,0.5426627943759211,-0.9609707603403903
letterario,wrnpc_5,e,lettera,5408,11.08988348437211,0.8728289526264182,-0.2945400064723485
letterario,wrnpc_5,t,lettera,4059,14.781419418432726,0.8893821534576418,-0.27143043748968776
letterario,wrnpc_5,a,lettera,3772,15.909838239193848,0.8666932019772117,-0.3751713900541393
letterario,wrnpc_5,o,lettera,3632,16.505921233819883,0.9291077381731699,-0.2009021457564574
