modello,temperatura,sample_id,alpha_o1,alpha_o2,alpha_o2_mescolato,deriva
Qwen3.5-2B-Base,1.5,2,0.6088400946156094,0.6050482696938496,0.4833631777933932,0.12722740239684582
Qwen3.5-2B-Base,1.5,3,0.584282840850228,0.5953407307828898,0.5409588706868732,0.14598342821831978
Qwen3.5-2B-Base,1.5,4,0.5417658466492238,0.5355089889270868,0.503991186330162,0.17995753272288584
Qwen3.5-2B-Base,1.5,5,0.5787407409393105,0.5571548571815691,0.49177459803471235,0.10663791080615985
Qwen3.5-4B-Base,0.4,1,0.718958957392705,0.49109709066810603,0.48520760645765887,0.02988408884876059
Qwen3.5-4B-Base,0.4,2,0.28363805995895863,0.25847985259675615,0.5121393966165134,0.003115581976259509
Qwen3.5-4B-Base,0.4,3,0.1140476314438465,0.15201697607693762,0.5077276015383938,0.0027996103854294537
Qwen3.5-4B-Base,0.4,4,0.224528147745659,0.2966878481008976,0.5072402655403819,0.006863692879387983
Qwen3.5-4B-Base,0.4,5,0.24455931585719753,0.17829036327084044,0.508333161258462,0.003609438830178975
Qwen3.5-4B-Base,0.5,1,0.08523914212233862,0.10470262158646933,0.48701780902595226,0.0016866614145384195
Qwen3.5-4B-Base,0.5,2,0.5821628383187206,0.379046921472669,0.5123276991118271,0.02333230292634434
Qwen3.5-4B-Base,0.5,3,0.26278403784815285,0.2702783741904177,0.4966502141354017,0.005091734603426501
Qwen3.5-4B-Base,0.5,4,0.8503724303163364,0.6298645878445328,0.504374029305863,0.06428625847963382
Qwen3.5-4B-Base,0.5,5,0.862676548597976,0.673189452631727,0.5186730173041126,0.03345230879160444
Qwen3.5-4B-Base,0.6,1,0.09903659088972087,0.10727310770359533,0.49650441449033317,0.001884089427345316
Qwen3.5-4B-Base,0.6,2,0.6904899098886754,0.5540177137450906,0.5028486359018907,0.015913015768771747
Qwen3.5-4B-Base,0.6,3,0.52111532853983,0.39725543326029045,0.5050103723655202,0.0292874350229538
Qwen3.5-4B-Base,0.6,4,0.424240883110494,0.41638893489944173,0.49717441379592126,0.02018125307879953
Qwen3.5-4B-Base,0.6,5,0.4751499598660327,0.4008910937407613,0.4691064886643044,0.00668694144770323
Qwen3.5-4B-Base,0.7,1,0.5157617920080373,0.46610187151633875,0.49676836589758944,0.07462719149154216
Qwen3.5-4B-Base,0.7,2,0.47805513774272507,0.38410029928620515,0.5238677568017989,0.02428445036722308
Qwen3.5-4B-Base,0.7,3,0.583106313582712,0.39337651427063225,0.4862963785461932,0.07480678769555149
Qwen3.5-4B-Base,0.7,4,0.46308416995112717,0.3256825446275088,0.4953218329778569,0.04225083993759334
Qwen3.5-4B-Base,0.7,5,0.953626916794728,0.68862287154493,0.48410325344759386,0.11736310016927075
Qwen3.5-4B-Base,0.8,1,0.6323242895200714,0.4942385815748794,0.5009642647723728,0.07044210249781198
Qwen3.5-4B-Base,0.8,2,0.5822596520611105,0.5202886885358567,0.48718151961958667,0.12913398298349466
Qwen3.5-4B-Base,0.8,3,0.6748075288072014,0.5209785317419761,0.48126919879227203,0.04888918882459867
Qwen3.5-4B-Base,0.8,4,0.511750841564611,0.42986112606773663,0.4912673245048718,0.05200949151150708
Qwen3.5-4B-Base,0.8,5,0.8589352612838205,0.6206946471255678,0.4866644453247043,0.3234090871371267
Qwen3.5-4B-Base,0.9,1,0.772623347647203,0.6894509691277265,0.49179235690091566,0.35672299943374663
Qwen3.5-4B-Base,0.9,2,0.8613323936884683,0.7712920682117439,0.5278590936594161,0.6645069183569414
